,date_nk,new_users,total_users,returning_users
0,2019-04-02,209261,2779618,2570357
1,2019-04-03,201661,2744147,2542486
2,2019-04-04,202639,2768987,2566348
3,2019-04-05,193663,2753217,2559554
4,2019-04-06,203454,2734087,2530633
5,2019-04-07,210434,2764206,2553772
6,2019-04-08,196179,2755393,2559214
7,2019-04-09,193587,2769190,2575603
8,2019-04-10,190814,2695569,2504755
9,2019-04-11,191737,2750099,2558362
10,2019-04-12,184959,2689083,2504124
11,2019-04-13,189462,2683516,2494054
12,2019-04-14,193744,2758316,2564572
13,2019-04-15,184436,2724502,2540066
14,2019-04-16,184560,2858900,2674340
15,2019-04-17,187562,2848153,2660591
16,2019-04-18,180395,2692884,2512489
17,2019-04-19,184317,2704246,2519929
18,2019-04-20,178288,2673750,2495462
19,2019-04-21,190998,2732568,2541570
20,2019-04-22,186585,2752413,2565828
21,2019-04-23,188710,2763708,2574998
22,2019-04-24,187144,2767161,2580017
23,2019-04-25,187871,2777797,2589926
24,2019-04-26,180493,2747674,2567181
25,2019-04-27,185946,2745163,2559217
26,2019-04-28,196427,2762316,2565889
27,2019-04-29,191974,2813405,2621431
28,2019-04-30,194195,2849747,2655552
29,2019-05-01,196721,2848849,2652128
30,2019-05-02,189305,2822873,2633568
31,2019-05-03,190846,2802187,2611341
32,2019-05-04,189391,2789575,2600184
33,2019-05-05,195827,2797736,2601909
34,2019-05-06,183158,2791296,2608138
35,2019-05-07,178103,2772630,2594527
36,2019-05-08,181571,2796075,2614504
37,2019-05-09,186696,2831299,2644603
38,2019-05-10,182849,2797000,2614151
39,2019-05-11,193111,2841380,2648269
40,2019-05-12,182422,2759167,2576745
41,2019-05-13,186541,2840296,2653755
42,2019-05-14,192737,2871645,2678908
43,2019-05-15,190549,2866864,2676315
44,2019-05-16,190251,2879829,2689578
45,2019-05-17,185169,2858847,2673678
46,2019-05-18,191116,2861525,2670409
47,2019-05-19,196701,2864094,2667393
48,2019-05-20,188623,2900243,2711620
49,2019-05-21,190133,2954613,2764480
50,2019-05-22,188645,2895561,2706916
51,2019-05-23,153448,2627393,2473945
52,2019-05-24,175123,2790415,2615292
53,2019-05-25,186670,2875226,2688556
54,2019-05-26,197290,2921662,2724372
55,2019-05-27,190681,2948051,2757370
56,2019-05-28,191388,2959875,2768487
57,2019-05-29,188106,2947356,2759250
58,2019-05-30,184179,2904375,2720196
59,2019-05-31,184741,2899517,2714776
60,2019-06-01,192316,2924044,2731728
61,2019-06-02,218658,2992917,2774259
62,2019-06-03,307733,3046513,2738780
63,2019-06-04,208439,2929084,2720645
64,2019-06-05,195918,2878336,2682418
65,2019-06-06,198240,2925793,2727553
66,2019-06-07,211192,2966324,2755132
67,2019-06-08,203987,2943212,2739225
68,2019-06-09,202898,2915604,2712706
69,2019-06-10,200248,2961816,2761568
70,2019-06-11,218374,3013877,2795503
71,2019-06-12,209926,2959121,2749195
72,2019-06-13,203525,2952640,2749115
73,2019-06-14,205669,2962659,2756990
74,2019-06-15,206705,2986786,2780081
75,2019-06-16,202702,2890785,2688083
76,2019-06-17,208939,2973620,2764681
77,2019-06-18,209977,2953660,2743683
78,2019-06-19,211816,3043955,2832139
79,2019-06-20,210567,3017643,2807076
80,2019-06-21,207126,2984315,2777189
81,2019-06-22,202878,2996017,2793139
82,2019-06-23,218540,3045141,2826601
83,2019-06-24,208986,3064263,2855277
84,2019-06-25,210049,3085334,2875285
85,2019-06-26,208580,3091361,2882781
86,2019-06-27,202457,3022988,2820531
87,2019-06-28,207826,3052762,2844936
88,2019-06-29,212250,3057489,2845239
89,2019-06-30,210767,3010358,2799591
90,2019-07-01,211673,3082834,2871161
91,2019-07-02,206282,3051803,2845521
92,2019-07-03,211467,3094378,2882911
93,2019-07-04,207107,3060326,2853219
94,2019-07-05,206185,3115180,2908995
95,2019-07-06,207672,3041652,2833980
96,2019-07-07,221370,3171610,2950240
97,2019-07-08,208187,3111302,2903115
98,2019-07-09,201934,3084252,2882318
99,2019-07-10,187188,2996914,2809726
100,2019-07-11,199629,3050715,2851086
101,2019-07-12,203568,3129482,2925914
102,2019-07-13,214128,3115167,2901039
103,2019-07-14,213788,3088098,2874310
104,2019-07-15,204808,3105616,2900808
105,2019-07-16,211818,3148248,2936430
106,2019-07-17,221951,3169473,2947522
107,2019-07-18,221310,3197169,2975859
108,2019-07-19,215954,3236946,3020992
109,2019-07-20,256966,3237024,2980058
110,2019-07-21,237526,3269499,3031973
111,2019-07-22,219511,3229025,3009514
112,2019-07-23,223758,3262080,3038322
113,2019-07-24,220511,3253132,3032621
